name,lat,lon,province,population,feature_code,geonameid
buenamadre,40.85705,-6.24987,Salamanca,144,PPLA3,3127552
buenaventura,40.17705,-4.85003,Toledo,490,PPLA3,3127551
buenavista,40.76763,-5.61139,Salamanca,249,PPLA3,3127550
buenavista de valdavia,42.63788,-4.61446,Palencia,373,PPLA3,3127549
buenavista del norte,28.37458,-16.86098,Santa Cruz de Tenerife,4916,PPLA3,2520760
buendia,40.36643,-2.75645,Cuenca,484,PPLA3,3127547
bueu,42.32458,-8.78497,Pontevedra,12373,PPLA3,3127538
bufali,38.86775,-0.51617,Valencia,184,PPLA3,2520751
bugarra,39.61667,-0.76667,Valencia,831,PPLA3,2520748
bugedo,42.64912,-3.01786,Burgos,193,PPLA3,3127529
buger,39.75809,2.98349,Illes Balears,1015,PPLA3,2520745
buitrago,41.84735,-2.40858,Soria,60,PPLA3,3127522
buitrago del lozoya,40.9909,-3.63365,Madrid,2031,PPLA3,3127521
bujalance,37.89556,-4.38074,Cordoba,7896,PPLA3,2520735
bujalaro,40.93687,-2.88333,Guadalajara,64,PPLA3,3127516
bujaraloz,41.49806,-0.1529,Zaragoza,953,PPLA3,3127507
bularros,40.72808,-4.82914,Avila,80,ADM3,6355649
bulbuente,41.8197,-1.60238,Zaragoza,240,PPLA3,3127504
bullas,38.04667,-1.67227,Murcia,11547,PPLA3,2520727
buniel,42.31197,-3.8223,Burgos,508,PPLA3,3127491
bunol,39.41667,-0.78333,Valencia,9927,PPL,2520726
bunuel,41.98009,-1.44503,Navarra,2359,PPLA3,3127489
bunyola,39.69634,2.69955,Illes Balears,6276,PPLA3,2520724
burbaguena,41.01783,-1.33825,Teruel,396,PPLA3,3127487
burela,43.662,-7.367,Lugo,9631,PPL,3127476
bureta,41.81572,-1.48819,Zaragoza,208,PPLA3,3127473
burganes de valverde,41.9213,-5.78244,Zamora,754,PPLA3,3127471
burgelu / elburgo,42.84972,-2.54513,Araba / Alava,629,PPL,3123625
"burgo de ebro, el",41.57157,-0.74128,Zaragoza,2704,PPL,3123623
burgo de osma-ciudad de osma,41.58619,-3.06522,Soria,5228,PPL,3123622
"burgo ranero, el",42.42225,-5.21919,Leon,794,PPL,3123621
"burgo, el",36.78963,-4.94724,Malaga,1957,PPL,2520717
burgohondo,40.41416,-4.78509,Avila,1300,PPLA3,3127463
burgos,42.34106,-3.70184,Burgos,179906,PPLA2,3127461
burgui/burgi,42.71995,-1.00443,Navarra,237,PPL,3127456
burguillos,37.5844,-5.96654,Sevilla,6459,PPLA3,2520715
burguillos de toledo,39.79635,-3.99254,Toledo,2789,PPLA3,2520713
burguillos del cerro,38.38008,-6.59037,Badajoz,3255,PPLA3,2520714
burjassot,39.50984,-0.41327,Valencia,38175,PPLA3,2520712
burlada/burlata,42.82484,-1.61522,Navarra,18162,ADM3,6359608
buron,43.02486,-5.05119,Leon,356,PPLA3,3127450
burujon,39.90113,-4.2973,Toledo,1446,PPLA3,2520700
busot,38.48206,-0.41918,Alicante,3412,PPLA3,2520698
busquistar,36.93796,-3.29444,Granada,292,PPLA3,2520697
bustares,41.13333,-3.06667,Guadalajara,81,PPLA3,3127410
bustarviejo,40.8572,-3.70766,Madrid,2486,PPLA3,3127407
"buste, el",41.88565,-1.60168,Zaragoza,59,PPL,3123620
bustillo de chaves,42.13114,-5.09169,Valladolid,79,PPLA3,3127383
bustillo de la vega,42.45605,-4.74115,Palencia,319,PPLA3,3127382
bustillo del oro,41.6746,-5.46158,Zamora,97,PPLA3,3127380
bustillo del paramo,42.44126,-5.7928,Leon,1410,PPLA3,3127379
bustillo del paramo de carrion,42.35509,-4.7398,Palencia,64,PPLA3,3127377
busto de bureba,42.6591,-3.26512,Burgos,189,PPLA3,3127361
"busto, el",42.54876,-2.24085,Navarra,73,PPL,3123618
busturia,43.3844,-2.69989,Bizkaia,1745,ADM3,3127354
cabaces,41.24856,0.73514,Tarragona,296,PPL,3127338
"cabaco, el",40.56552,-6.12848,Salamanca,278,PPL,3123617
caballar,41.12159,-3.9642,Segovia,102,PPLA3,3127329
cabana de bergantinos,43.21187,-8.91145,Coruna,4759,PPL,3127313
cabanabona,41.8515,1.21579,Lleida,65,PPL,3127310
cabanas,43.41759,-8.15925,Coruna,3299,PPL,3127296
cabanas de ebro,41.8,-1.2,Zaragoza,553,PPLA3,3127290
cabanas de la sagra,40.0061,-3.9456,Toledo,1932,PPLA3,3127288
cabanas de polendos,41.06667,-4.1101,Segovia,181,PPLA3,3127287
cabanas de sayago,41.33333,-5.78333,Zamora,163,PPLA3,3127286
cabanas de yepes,39.89051,-3.53502,Toledo,305,PPLA3,2520673
cabanas del castillo,39.54804,-5.51203,Caceres,474,PPLA3,2520674
cabanas raras,42.61374,-6.62647,Leon,1316,ADM3,6358577
cabanelles,42.23068,2.81997,Girona,244,PPLA3,3127280
cabanes,40.156,0.04325,Castello,2971,PPLA3,3127277
cabanes,42.30805,2.97766,Girona,931,PPLA3,6459081
cabanes de esgueva,41.83023,-3.78824,Burgos,202,PPLA3,3127274
cabanillas,42.03249,-1.52591,Navarra,1490,PPLA3,3127272
cabanillas de la sierra,40.82009,-3.62438,Madrid,751,PPLA3,3127268
cabanillas del campo,40.63376,-3.22937,Guadalajara,9709,PPLA3,3127267
"cabeza de bejar, la",40.49574,-5.66259,Salamanca,95,PPL,3119920
cabeza del buey,38.72227,-5.21946,Badajoz,5338,PPLA3,2520672
cabeza del caballo,41.12982,-6.55742,Salamanca,363,PPLA3,3127240
cabeza la vaca,38.08333,-6.41667,Badajoz,1430,PPLA3,2520666
cabezabellosa,40.13763,-6.00086,Caceres,397,PPLA3,3127245
cabezabellosa de la calzada,41.04395,-5.48866,Salamanca,96,PPLA3,3127244
cabezamesada,39.8163,-3.10236,Toledo,490,PPLA3,2520663
cabezarados,38.84469,-4.2983,Ciudad Real,352,PPLA3,2520661
cabezarrubias del puerto,38.61508,-4.18452,Ciudad Real,559,PPL,2520659
cabezas de alambre,40.94218,-4.84184,Avila,179,PPLA3,3127233
"cabezas de san juan, las",36.9838,-5.93933,Sevilla,16562,PPL,2515493
cabezas del pozo,41.00139,-4.95453,Avila,84,PPLA3,3127231
cabezas del villar,40.71557,-5.20956,Avila,308,PPLA3,3127230
cabezas rubias,37.7266,-7.08738,Huelva,811,PPLA3,2520657
cabezon de cameros,42.19716,-2.51989,La Rioja,20,PPLA3,3127225
cabezon de la sal,43.30824,-4.23571,Cantabria,8234,PPLA3,3127224
cabezon de la sierra,41.93434,-3.24153,Burgos,52,PPLA3,3127223
cabezon de liebana,43.13437,-4.5763,Cantabria,707,PPLA3,3127222
cabezon de pisuerga,41.73049,-4.62078,Valladolid,3576,ADM3,6362155
cabezon de valderaduey,42.16793,-5.15892,Valladolid,37,PPLA3,3127221
cabezuela,41.2359,-3.93173,Segovia,701,PPLA3,3127219
cabezuela del valle,40.19364,-5.8065,Caceres,2443,PPLA3,3127217
cabizuela,40.9009,-4.80212,Avila,111,PPLA3,3127209
cabo,42.23595,1.24244,Lleida,97,ADM3,6358817
cabolafuente,41.21053,-2.04133,Zaragoza,50,PPLA3,3127203
cabra,37.47249,-4.44206,Cordoba,21136,PPLA3,2520645
cabra de mora,40.31696,-0.80678,Teruel,66,PPLA3,3127190
cabra del camp,41.4,1.28333,Tarragona,1165,PPLA3,3127191
cabra del santo cristo,37.70379,-3.28765,Jaen,2034,PPLA3,2520641
cabrales,43.30388,-4.8157,Asturias,2002,PPL,3119030
cabranes,43.41234,-5.42945,Asturias,1074,ADM3,6359916
cabredo,42.62966,-2.41133,Navarra,109,PPLA3,3127182
cabrejas del campo,41.68096,-2.26964,Soria,64,PPLA3,3127174
cabrejas del pinar,41.79596,-2.84945,Soria,414,PPLA3,3127173
cabrera d'anoia,41.49068,1.72016,Barcelona,1376,ADM3,6356064
cabrera de mar,41.51667,2.4,Barcelona,4532,PPL,3127161
"cabrera, la",40.86386,-3.61265,Madrid,2613,PPL,3119918
cabrerizos,40.97808,-5.60907,Salamanca,4070,PPLA3,3127159
cabrero,40.11324,-5.89293,Caceres,371,PPLA3,3127158
cabreros del monte,41.84906,-5.27016,Valladolid,71,PPLA3,3127157
cabreros del rio,42.40205,-5.54154,Leon,460,PPLA3,3127156
cabrillanes,42.95343,-6.14849,Leon,905,PPLA3,3127151
cabrillas,40.73977,-6.17873,Salamanca,432,PPLA3,3127150
cabrils,41.5276,2.36996,Barcelona,7140,PPL,3127147
cabuerniga,43.21483,-4.29452,Cantabria,1066,ADM3,6360661
cacabelos,42.60021,-6.72373,Leon,5506,PPLA3,3127135
caceres,39.47649,-6.37224,Caceres,95668,PPLA2,2520611
cachorrilla,39.91557,-6.66909,Caceres,102,PPLA3,2520604
cacin,37.05995,-3.91689,Granada,590,PPL,6559557
cadalso,40.23743,-6.54083,Caceres,484,PPLA3,3127122
cadalso de los vidrios,40.30067,-4.43348,Madrid,2944,PPLA3,3127121
cadaques,42.28856,3.27706,Girona,2935,PPLA3,3127117
cadiar,36.94591,-3.1802,Granada,1632,PPLA3,2520601
cadiz,36.52672,-6.2891,Cadiz,123948,PPLA2,2520600
cadreita,42.21667,-1.68333,Navarra,2106,PPLA3,3127100
cadrete,41.55575,-0.96013,Zaragoza,4639,PPLA3,3127099
cajar,37.13381,-3.57274,Granada,4741,PPLA3,2520592
cala,37.96667,-6.31667,Huelva,1289,PPLA3,2520590
calabazas de fuentiduena,41.45475,-4.00648,Segovia,38,ADM3,6360780
calaceite,41.01625,0.18876,Teruel,961,PPLA3,3127071
calaf,41.73289,1.51375,Barcelona,3538,PPLA3,3127068
calafell,41.19997,1.5683,Tarragona,24672,PPLA3,3127066
calahorra,42.30506,-1.96521,La Rioja,24897,PPLA3,3127065
calahorra de boedo,42.57409,-4.38485,Palencia,115,PPLA3,3127063
"calahorra, la",37.18333,-3.06667,Granada,765,PPL,2516139
calamocha,40.91933,-1.2975,Teruel,4655,PPLA3,3127059
calamonte,38.88861,-6.38791,Badajoz,6361,PPLA3,2520568
calanas,37.65568,-6.8805,Huelva,4159,PPLA3,2520566
calanda,40.94153,-0.23243,Teruel,3745,PPLA3,3127052
calasparra,38.22997,-1.69986,Murcia,10178,PPLA3,2520558
calatanazor,41.69879,-2.81837,Soria,66,PPLA3,3127048
calatayud,41.35353,-1.64318,Zaragoza,20035,PPLA3,3127047
calatorao,41.52228,-1.34702,Zaragoza,2861,PPLA3,3127046
calcena,41.65515,-1.71764,Zaragoza,75,PPLA3,3127042
caldas de reis,42.60473,-8.6423,Pontevedra,10008,PPLA3,3127034
caldearenas,42.39784,-0.50131,Huesca,220,PPL,3127032
calders,41.7889,1.98672,Barcelona,955,PPL,3127024
caldes d'estrac,41.56667,2.53333,Barcelona,2773,PPLA3,3127038
